DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD010837.pub5,18,7,25,20,87,20
10.1002-14651858.CD010951.pub2,10,1,33,19,81,41
10.1002-14651858.CD001097.pub4,18,3,22,18,73,31
10.1002-14651858.CD009648.pub4,15,6,26,18,61,22
10.1002-14651858.CD008846.pub3,15,6,18,12,93,25
10.1002-14651858.CD014739,8,0,12,8,48,6
10.1002-14651858.CD009790.pub2,27,7,50,32,94,20
10.1002-14651858.CD007662.pub3,25,11,45,16,125,46
10.1002-14651858.CD011513.pub3,23,11,30,42,90,11
10.1002-14651858.CD013380.pub2,15,7,23,21,70,14
10.1002-14651858.CD013335.pub2,27,12,13,17,72,19
10.1002-14651858.CD013357.pub2,19,13,26,30,78,25
10.1002-14651858.CD013092.pub2,6,3,78,16,102,49
10.1002-14651858.CD005455.pub3,30,8,27,17,93,40
10.1002-14651858.CD011482.pub2,17,7,14,28,67,27
10.1002-14651858.CD010062.pub3,9,1,11,5,40,10
10.1002-14651858.CD013169.pub2,14,2,17,13,58,13
10.1002-14651858.CD007651.pub3,27,7,19,21,73,12
10.1002-14651858.CD010288.pub5,14,4,14,7,57,11
10.1002-14651858.CD012820.pub2,27,4,27,32,64,10
10.1002-14651858.CD009806.pub3,18,3,19,13,46,20
10.1002-14651858.CD013225.pub3,20,8,30,19,102,20
10.1002-14651858.CD015085.pub2,24,8,49,28,92,20
10.1002-14651858.CD013575.pub2,23,5,12,19,62,35
10.1002-14651858.CD013373.pub2,15,3,40,34,103,10
10.1002-14651858.CD003030.pub3,19,5,24,19,66,10
10.1002-14651858.CD012998.pub2,19,7,12,13,62,25
10.1002-14651858.CD013330.pub2,9,4,4,13,35,14
10.1002-14651858.CD010216.pub6,19,9,24,42,77,17
10.1002-14651858.CD013276.pub2,25,12,32,19,61,14
10.1002-14651858.CD003737.pub4,18,7,27,29,87,31
10.1002-14651858.CD012814.pub2,14,3,22,13,59,15
10.1002-14651858.CD013365.pub2,31,7,24,38,123,32
10.1002-14651858.CD011612.pub3,34,7,25,23,84,20
10.1002-14651858.CD013264.pub2,30,9,22,31,108,26
10.1002-14651858.CD013489.pub2,28,11,35,43,110,24
10.1002-14651858.CD009437.pub3,14,3,14,13,59,9
10.1002-14651858.CD013381.pub2,16,15,23,34,81,36
10.1002-14651858.CD013682.pub2,29,3,24,29,93,13
10.1002-14651858.CD011556.pub2,30,5,25,35,96,11
10.1002-14651858.CD002834.pub3,19,8,20,13,51,20
10.1002-14651858.CD013173.pub2,36,16,28,50,104,13
10.1002-14651858.CD011406.pub2,13,0,17,16,44,14
10.1002-14651858.CD011405.pub2,10,2,12,15,54,15
10.1002-14651858.CD013825.pub2,27,20,53,57,139,36
10.1002-14651858.CD012375.pub2,23,6,12,14,110,38
10.1002-14651858.CD007077.pub4,24,12,8,30,58,23
10.1002-14651858.CD014698,23,7,24,28,96,23
10.1002-14651858.CD004122.pub5,14,9,25,20,77,12
10.1002-14651858.CD006190.pub3,21,9,29,16,80,22
10.1002-14651858.CD009380.pub3,21,0,18,23,67,20
10.1002-14651858.CD009147.pub3,18,2,22,18,99,47
10.1002-14651858.CD007677.pub4,16,2,18,15,65,28
10.1002-14651858.CD011564.pub3,20,3,16,12,61,19
10.1002-14651858.CD001241.pub8,6,1,8,8,31,6
10.1002-14651858.CD011907.pub3,11,2,11,8,45,11
10.1002-14651858.CD008901.pub5,23,8,23,27,61,23
10.1002-14651858.CD015061,7,5,16,17,65,6
10.1002-14651858.CD014641,15,5,9,13,97,15
10.1002-14651858.CD012322.pub2,21,7,15,16,58,17
10.1002-14651858.CD014201,12,7,15,12,48,16
10.1002-14651858.CD010168.pub4,16,2,14,5,68,14
10.1002-14651858.CD013569.pub2,16,2,11,9,36,25
10.1002-14651858.CD014963,24,9,39,42,97,31
10.1002-14651858.CD006822.pub6,17,5,32,14,60,18
10.1002-14651858.CD012516.pub2,24,10,13,35,100,13
10.1002-14651858.CD013761.pub2,23,10,40,45,85,18
10.1002-14651858.CD011786.pub3,17,3,12,14,65,19
10.1002-14651858.CD013503.pub2,29,16,35,46,110,15
10.1002-14651858.CD005620.pub3,34,8,23,44,107,18
10.1002-14651858.CD013207.pub2,23,7,17,13,58,12
10.1002-14651858.CD005624.pub4,40,8,32,41,98,25
10.1002-14651858.CD010069.pub3,9,5,16,9,135,43
10.1002-14651858.CD013441.pub2,26,11,30,69,101,43
10.1002-14651858.CD002878.pub3,18,6,20,27,72,13
10.1002-14651858.CD013677.pub2,12,7,6,19,55,17
10.1002-14651858.CD012720.pub2,11,4,16,10,99,40
10.1002-14651858.CD009719.pub3,14,5,6,9,22,2
10.1002-14651858.CD013664.pub2,15,3,9,23,45,16
10.1002-14651858.CD014962,29,8,39,41,110,28
10.1002-14651858.CD011108.pub3,12,2,17,20,51,14
10.1002-14651858.CD012548.pub2,14,3,11,19,55,10
10.1002-14651858.CD009149.pub3,17,29,43,13,137,18
10.1002-14651858.CD005249.pub3,7,3,9,2,33,6
10.1002-14651858.CD012924.pub2,6,2,13,13,41,11
10.1002-14651858.CD013488.pub2,18,4,14,19,53,19
10.1002-14651858.CD005343.pub6,26,9,33,33,113,20
10.1002-14651858.CD010783.pub3,5,2,3,6,29,10
10.1002-14651858.CD012944.pub2,14,8,20,42,63,8
10.1002-14651858.CD013397.pub2,14,6,31,33,72,16
10.1002-14651858.CD013384.pub2,24,18,50,25,126,40
10.1002-14651858.CD012920.pub2,11,9,11,15,43,22
10.1002-14651858.CD002786.pub4,13,5,25,15,68,18
10.1002-14651858.CD013589.pub2,19,6,9,27,60,18
10.1002-14651858.CD013433.pub2,15,6,21,13,77,27
10.1002-14651858.CD009326.pub4,20,9,26,15,58,6
10.1002-14651858.CD013706.pub2,18,6,41,42,109,38
10.1002-14651858.CD012307.pub2,13,3,16,22,51,11
