DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD003030.pub3,18,12,30,41,117,44
10.1002-14651858.CD012998.pub2,15,8,27,29,79,57
10.1002-14651858.CD013330.pub2,22,7,31,14,75,38
10.1002-14651858.CD010216.pub6,33,4,40,32,134,42
10.1002-14651858.CD013276.pub2,18,10,52,9,93,32
10.1002-14651858.CD003737.pub4,17,4,34,15,96,60
10.1002-14651858.CD012814.pub2,16,4,29,18,111,31
10.1002-14651858.CD013365.pub2,28,5,40,21,146,38
10.1002-14651858.CD011612.pub3,19,3,36,20,97,33
10.1002-14651858.CD013264.pub2,16,1,32,21,80,29
10.1002-14651858.CD013489.pub2,16,7,40,21,109,27
10.1002-14651858.CD009437.pub3,18,4,40,14,92,36
10.1002-14651858.CD013381.pub2,20,22,45,10,131,48
10.1002-14651858.CD013682.pub2,21,4,29,19,99,25
10.1002-14651858.CD011556.pub2,25,8,42,39,133,64
10.1002-14651858.CD002834.pub3,35,13,36,32,136,57
10.1002-14651858.CD013173.pub2,20,7,35,24,94,43
10.1002-14651858.CD011406.pub2,9,3,14,9,55,15
10.1002-14651858.CD011405.pub2,18,3,25,15,84,23
10.1002-14651858.CD013825.pub2,24,16,50,22,176,37
10.1002-14651858.CD012375.pub2,27,8,39,22,118,32
10.1002-14651858.CD007077.pub4,13,3,29,19,74,31
10.1002-14651858.CD014698,18,10,43,18,111,61
10.1002-14651858.CD004122.pub5,36,8,21,21,132,35
10.1002-14651858.CD006190.pub3,23,10,43,23,139,54
10.1002-14651858.CD009380.pub3,30,2,27,18,123,28
10.1002-14651858.CD009147.pub3,18,6,41,21,119,71
10.1002-14651858.CD007677.pub4,19,1,28,30,97,39
10.1002-14651858.CD011564.pub3,18,3,31,13,80,29
10.1002-14651858.CD001241.pub8,8,5,25,11,64,27
10.1002-14651858.CD011907.pub3,7,1,11,12,35,12
10.1002-14651858.CD008901.pub5,13,1,36,14,95,39
10.1002-14651858.CD015061,11,9,42,33,109,37
10.1002-14651858.CD014641,16,5,21,19,138,41
10.1002-14651858.CD012322.pub2,18,5,33,19,79,23
10.1002-14651858.CD014201,16,5,31,12,94,30
10.1002-14651858.CD010168.pub4,18,1,21,10,85,24
10.1002-14651858.CD013569.pub2,24,6,34,20,83,48
10.1002-14651858.CD014963,21,5,41,37,113,42
10.1002-14651858.CD006822.pub6,30,21,42,23,136,41
10.1002-14651858.CD012516.pub2,32,1,29,27,130,23
10.1002-14651858.CD013761.pub2,22,10,34,31,116,50
10.1002-14651858.CD011786.pub3,21,5,22,7,113,44
10.1002-14651858.CD013503.pub2,20,1,42,24,113,30
10.1002-14651858.CD005620.pub3,29,6,39,42,128,27
10.1002-14651858.CD013207.pub2,15,1,43,16,82,30
10.1002-14651858.CD005624.pub4,26,9,60,14,117,68
10.1002-14651858.CD010069.pub3,19,8,21,15,139,39
10.1002-14651858.CD013441.pub2,13,5,54,39,120,46
10.1002-14651858.CD002878.pub3,21,8,31,19,117,44
10.1002-14651858.CD013677.pub2,18,7,15,28,109,43
10.1002-14651858.CD012720.pub2,24,4,35,12,159,65
10.1002-14651858.CD009719.pub3,11,2,25,12,42,12
10.1002-14651858.CD013664.pub2,8,1,11,11,58,14
10.1002-14651858.CD014962,14,6,34,26,142,59
10.1002-14651858.CD011108.pub3,18,3,34,36,119,47
10.1002-14651858.CD012548.pub2,15,2,17,18,77,27
10.1002-14651858.CD009149.pub3,5,40,26,3,107,32
10.1002-14651858.CD005249.pub3,10,3,30,13,89,32
10.1002-14651858.CD012924.pub2,9,4,31,15,72,27
10.1002-14651858.CD013488.pub2,14,4,18,14,66,23
10.1002-14651858.CD005343.pub6,15,3,30,14,88,31
10.1002-14651858.CD010783.pub3,15,13,32,19,135,36
10.1002-14651858.CD012944.pub2,13,3,42,26,105,39
10.1002-14651858.CD013397.pub2,15,6,46,19,105,25
10.1002-14651858.CD013384.pub2,20,9,68,23,131,56
10.1002-14651858.CD012920.pub2,13,8,23,20,54,27
10.1002-14651858.CD002786.pub4,21,4,41,7,92,43
10.1002-14651858.CD013589.pub2,35,12,37,37,113,38
10.1002-14651858.CD013433.pub2,29,16,17,37,117,45
10.1002-14651858.CD009326.pub4,31,15,36,12,128,34
10.1002-14651858.CD013706.pub2,16,9,53,56,125,55
10.1002-14651858.CD012307.pub2,22,2,37,12,91,34
